#cleaned version removed '.1' from all the accessions.
Assembly	Genome_Acc	RefSeq_Acc	GenBank_Acc	NCBI_name
ASM15162v1	DF091694	NW_004581469	DF091694	GPS_001612361
ASM15162v1	DF091695	NW_004581470	DF091695	GPS_001612362
ASM15162v1	DF091696	NW_004581471	DF091696	GPS_001612363
ASM15162v1	DF091697	NW_004581472	DF091697	GPS_001612364
ASM15162v1	DF091698	NW_004581473	DF091698	GPS_001612365
ASM15162v1	DF091699	NW_004581474	DF091699	GPS_001612366
ASM15162v1	DF091700	NW_004581475	DF091700	GPS_001612367
ASM15162v1	DF091701	NW_004581476	DF091701	GPS_001612368
ASM15162v1	DF091702	NW_004581477	DF091702	GPS_001612369
ASM15162v1	DF091703	NW_004581478	DF091703	GPS_001612370
ASM15162v1	DF091704	NW_004581479	DF091704	GPS_001612371
ASM15162v1	DF091705	NW_004581480	DF091705	GPS_001612372
ASM15162v1	DF091706	NW_004581481	DF091706	GPS_001612373
ASM15162v1	DF091707	NW_004581482	DF091707	GPS_001612374
ASM15162v1	DF091708	NW_004581483	DF091708	GPS_001612375
ASM15162v1	DF091709	NW_004581484	DF091709	GPS_001612376
ASM15162v1	DF091710	NW_004581485	DF091710	GPS_001612377
ASM15162v1	DF091711	NW_004581486	DF091711	GPS_001612378
ASM15162v1	DF091712	NW_004581487	DF091712	GPS_001612379
ASM15162v1	DF091713	NW_004581488	DF091713	GPS_001612380
ASM15162v1	DF091714	NW_004581489	DF091714	GPS_001612381
ASM15162v1	DF091715	NW_004581490	DF091715	GPS_001612382
ASM15162v1	DF091716	NW_004581491	DF091716	GPS_001612383
ASM15162v1	DF091717	NW_004581492	DF091717	GPS_001612384
ASM15162v1	DF091718	NW_004581493	DF091718	GPS_001612385
ASM15162v1	DF091719	NW_004581494	DF091719	GPS_001612386
ASM15162v1	DF091720	NW_004581495	DF091720	GPS_001612387
ASM15162v1	DF091721	NW_004581496	DF091721	GPS_001612388
ASM15162v1	DF091722	NW_004581497	DF091722	GPS_001612389
ASM15162v1	DF091723	NW_004581498	DF091723	GPS_001612390
ASM15162v1	DF091724	NW_004581499	DF091724	GPS_001612391
ASM15162v1	DF091725	NW_004581500	DF091725	GPS_001612392
ASM15162v1	DF091726	NW_004581501	DF091726	GPS_001612393
ASM15162v1	DF091727	NW_004581502	DF091727	GPS_001612394
ASM15162v1	DF091728	NW_004581503	DF091728	GPS_001612395
ASM15162v1	DF091729	NW_004581504	DF091729	GPS_001612396
ASM15162v1	DF091730	NW_004581505	DF091730	GPS_001612397
ASM15162v1	DF091731	NW_004581506	DF091731	GPS_001612398
ASM15162v1	DF091732	NW_004581507	DF091732	GPS_001612399
ASM15162v1	DF091733	NW_004581508	DF091733	GPS_001612400
ASM15162v1	DF091734	NW_004581509	DF091734	GPS_001612401
ASM15162v1	DF091735	NW_004581510	DF091735	GPS_001612402
ASM15162v1	DF091736	NW_004581511	DF091736	GPS_001612403
ASM15162v1	DF091737	NW_004581512	DF091737	GPS_001612404
ASM15162v1	DF091738	NW_004581513	DF091738	GPS_001612405
ASM15162v1	DF091739	NW_004581514	DF091739	GPS_001612406
ASM15162v1	DF091740	NW_004581515	DF091740	GPS_001612407
ASM15162v1	DF091741	NW_004581516	DF091741	GPS_001612408
ASM15162v1	DF091742	NW_004581517	DF091742	GPS_001612409
ASM15162v1	DF091743	NW_004581518	DF091743	GPS_001612410
ASM15162v1	DF091744	NW_004581519	DF091744	GPS_001612411
ASM15162v1	DF091745	NW_004581520	DF091745	GPS_001612412
ASM15162v1	DF091746	NW_004581521	DF091746	GPS_001612413
ASM15162v1	DF091747	NW_004581522	DF091747	GPS_001612414
ASM15162v1	DF091748	NW_004581523	DF091748	GPS_001612415
ASM15162v1	DF091749	NW_004581524	DF091749	GPS_001612416
ASM15162v1	DF091750	NW_004581525	DF091750	GPS_001612417
ASM15162v1	DF091751	NW_004581526	DF091751	GPS_001612418
ASM15162v1	DF091752	NW_004581527	DF091752	GPS_001612419
ASM15162v1	DF091753	NW_004581528	DF091753	GPS_001612420
ASM15162v1	DF091754	NW_004581529	DF091754	GPS_001612421
ASM15162v1	DF091755	NW_004581530	DF091755	GPS_001612422
ASM15162v1	DF091756	NW_004581531	DF091756	GPS_001612423
ASM15162v1	DF091757	NW_004581532	DF091757	GPS_001612424
ASM15162v1	DF091758	NW_004581533	DF091758	GPS_001612425
ASM15162v1	DF091759	NW_004581534	DF091759	GPS_001612426
ASM15162v1	DF091760	NW_004581535	DF091760	GPS_001612427
ASM15162v1	DF091761	NW_004581536	DF091761	GPS_001612428
ASM15162v1	DF091762	NW_004581537	DF091762	GPS_001612429
ASM15162v1	DF091763	NW_004581538	DF091763	GPS_001612430
ASM15162v1	DF091764	NW_004581539	DF091764	GPS_001612431
ASM15162v1	DF091765	NW_004581540	DF091765	GPS_001612432
ASM15162v1	DF091766	NW_004581541	DF091766	GPS_001612433
ASM15162v1	DF091767	NW_004581542	DF091767	GPS_001612434
ASM15162v1	DF091768	NW_004581543	DF091768	GPS_001612435
ASM15162v1	DF091769	NW_004581544	DF091769	GPS_001612436
ASM15162v1	DF091770	NW_004581545	DF091770	GPS_001612437
ASM15162v1	DF091771	NW_004581546	DF091771	GPS_001612438
ASM15162v1	DF091772	NW_004581547	DF091772	GPS_001612439
ASM15162v1	DF091773	NW_004581548	DF091773	GPS_001612440
ASM15162v1	DF091774	NW_004581549	DF091774	GPS_001612441
ASM15162v1	DF091775	NW_004581550	DF091775	GPS_001612442
ASM15162v1	DF091776	NW_004581551	DF091776	GPS_001612443
ASM15162v1	DF091777	NW_004581552	DF091777	GPS_001612444
ASM15162v1	DF091778	NW_004581553	DF091778	GPS_001612445
ASM15162v1	DF091779	NW_004581554	DF091779	GPS_001612446
ASM15162v1	DF091780	NW_004581555	DF091780	GPS_001612447
ASM15162v1	DF091781	NW_004581556	DF091781	GPS_001612448
ASM15162v1	DF091782	NW_004581557	DF091782	GPS_001612449
ASM15162v1	DF091783	NW_004581558	DF091783	GPS_001612450
ASM15162v1	DF091784	NW_004581559	DF091784	GPS_001612451
ASM15162v1	DF091785	NW_004581560	DF091785	GPS_001612452
ASM15162v1	DF091786	NW_004581561	DF091786	GPS_001612453
ASM15162v1	DF091787	NW_004581562	DF091787	GPS_001612454
ASM15162v1	DF091788	NW_004581563	DF091788	GPS_001612455
ASM15162v1	DF091789	NW_004581564	DF091789	GPS_001612456
ASM15162v1	DF091790	NW_004581565	DF091790	GPS_001612457
ASM15162v1	DF091791	NW_004581566	DF091791	GPS_001612458
ASM15162v1	DF091792	NW_004581567	DF091792	GPS_001612459
ASM15162v1	DF091793	NW_004581568	DF091793	GPS_001612460
ASM15162v1	DF091794	NW_004581569	DF091794	GPS_001612461
ASM15162v1	DF091795	NW_004581570	DF091795	GPS_001612462
ASM15162v1	DF091796	NW_004581571	DF091796	GPS_001612463
ASM15162v1	DF091797	NW_004581572	DF091797	GPS_001612464
ASM15162v1	DF091798	NW_004581573	DF091798	GPS_001612465
ASM15162v1	DF091799	NW_004581574	DF091799	GPS_001612466
ASM15162v1	DF091800	NW_004581575	DF091800	GPS_001612467
ASM15162v1	DF091801	NW_004581576	DF091801	GPS_001612468
ASM15162v1	DF091802	NW_004581577	DF091802	GPS_001612469
ASM15162v1	DF091803	NW_004581578	DF091803	GPS_001612470
ASM15162v1	DF091804	NW_004581579	DF091804	GPS_001612471
ASM15162v1	DF091805	NW_004581580	DF091805	GPS_001612472
ASM15162v1	DF091806	NW_004581581	DF091806	GPS_001612473
ASM15162v1	DF091807	NW_004581582	DF091807	GPS_001612474
ASM15162v1	DF091808	NW_004581583	DF091808	GPS_001612475
ASM15162v1	DF091809	NW_004581584	DF091809	GPS_001612476
ASM15162v1	DF091810	NW_004581585	DF091810	GPS_001612477
ASM15162v1	DF091811	NW_004581586	DF091811	GPS_001612478
ASM15162v1	DF091812	NW_004581587	DF091812	GPS_001612479
ASM15162v1	DF091813	NW_004581588	DF091813	GPS_001612480
ASM15162v1	DF091814	NW_004581589	DF091814	GPS_001612481
ASM15162v1	DF091815	NW_004581590	DF091815	GPS_001612482
ASM15162v1	DF091816	NW_004581591	DF091816	GPS_001612483
ASM15162v1	DF091817	NW_004581592	DF091817	GPS_001612484
ASM15162v1	DF091818	NW_004581593	DF091818	GPS_001612485
ASM15162v1	DF091819	NW_004581594	DF091819	GPS_001612486
ASM15162v1	DF091820	NW_004581595	DF091820	GPS_001612487
ASM15162v1	DF091821	NW_004581596	DF091821	GPS_001612488
ASM15162v1	DF091822	NW_004581597	DF091822	GPS_001612489
ASM15162v1	DF091823	NW_004581598	DF091823	GPS_001612490
ASM15162v1	DF091824	NW_004581599	DF091824	GPS_001612491
ASM15162v1	DF091825	NW_004581600	DF091825	GPS_001612492
ASM15162v1	DF091826	NW_004581601	DF091826	GPS_001612493
ASM15162v1	DF091827	NW_004581602	DF091827	GPS_001612494
ASM15162v1	DF091828	NW_004581603	DF091828	GPS_001612495
ASM15162v1	DF091829	NW_004581604	DF091829	GPS_001612496
ASM15162v1	DF091830	NW_004581605	DF091830	GPS_001612497
ASM15162v1	DF091831	NW_004581606	DF091831	GPS_001612498
ASM15162v1	DF091832	NW_004581607	DF091832	GPS_001612499
ASM15162v1	DF091833	NW_004581608	DF091833	GPS_001612500
ASM15162v1	DF091834	NW_004581609	DF091834	GPS_001612501
ASM15162v1	DF091835	NW_004581610	DF091835	GPS_001612502
ASM15162v1	DF091836	NW_004581611	DF091836	GPS_001612503
ASM15162v1	DF091837	NW_004581612	DF091837	GPS_001612504
ASM15162v1	DF091838	NW_004581613	DF091838	GPS_001612505
ASM15162v1	DF091839	NW_004581614	DF091839	GPS_001612506
ASM15162v1	DF091840	NW_004581615	DF091840	GPS_001612507
ASM15162v1	DF091841	NW_004581616	DF091841	GPS_001612508
ASM15162v1	DF091842	NW_004581617	DF091842	GPS_001612509
ASM15162v1	DF091843	NW_004581618	DF091843	GPS_001612510
ASM15162v1	DF091844	NW_004581619	DF091844	GPS_001612511
ASM15162v1	DF091845	NW_004581620	DF091845	GPS_001612512
ASM15162v1	DF091846	NW_004581621	DF091846	GPS_001612513
ASM15162v1	DF091847	NW_004581622	DF091847	GPS_001612514
ASM15162v1	DF091848	NW_004581623	DF091848	GPS_001612515
ASM15162v1	DF091849	NW_004581624	DF091849	GPS_001612516
ASM15162v1	DF091850	NW_004581625	DF091850	GPS_001612517
ASM15162v1	DF091851	NW_004581626	DF091851	GPS_001612518
ASM15162v1	DF091852	NW_004581627	DF091852	GPS_001612519
ASM15162v1	DF091853	NW_004581628	DF091853	GPS_001612520
ASM15162v1	DF091854	NW_004581629	DF091854	GPS_001612521
ASM15162v1	DF091855	NW_004581630	DF091855	GPS_001612522
ASM15162v1	DF091856	NW_004581631	DF091856	GPS_001612523
ASM15162v1	DF091857	NW_004581632	DF091857	GPS_001612524
ASM15162v1	DF091858	NW_004581633	DF091858	GPS_001612525
ASM15162v1	DF091859	NW_004581634	DF091859	GPS_001612526
ASM15162v1	DF091860	NW_004581635	DF091860	GPS_001612527
ASM15162v1	DF091861	NW_004581636	DF091861	GPS_001612528
ASM15162v1	DF091862	NW_004581637	DF091862	GPS_001612529
ASM15162v1	DF091863	NW_004581638	DF091863	GPS_001612530
ASM15162v1	DF091864	NW_004581639	DF091864	GPS_001612531
ASM15162v1	DF091865	NW_004581640	DF091865	GPS_001612532
ASM15162v1	DF091866	NW_004581641	DF091866	GPS_001612533
ASM15162v1	DF091867	NW_004581642	DF091867	GPS_001612534
ASM15162v1	DF091868	NW_004581643	DF091868	GPS_001612535
ASM15162v1	DF091869	NW_004581644	DF091869	GPS_001612536
ASM15162v1	DF091870	NW_004581645	DF091870	GPS_001612537
ASM15162v1	DF091871	NW_004581646	DF091871	GPS_001612538
ASM15162v1	DF091872	NW_004581647	DF091872	GPS_001612539
ASM15162v1	DF091873	NW_004581648	DF091873	GPS_001612540
ASM15162v1	DF091874	NW_004581649	DF091874	GPS_001612541
ASM15162v1	DF091875	NW_004581650	DF091875	GPS_001612542
ASM15162v1	DF091876	NW_004581651	DF091876	GPS_001612543
ASM15162v1	DF091877	NW_004581652	DF091877	GPS_001612544
ASM15162v1	DF091878	NW_004581653	DF091878	GPS_001612545
ASM15162v1	DF091879	NW_004581654	DF091879	GPS_001612546
ASM15162v1	DF091880	NW_004581655	DF091880	GPS_001612547
ASM15162v1	DF091881	NW_004581656	DF091881	GPS_001612548
ASM15162v1	DF091882	NW_004581657	DF091882	GPS_001612549
ASM15162v1	DF091883	NW_004581658	DF091883	GPS_001612550
ASM15162v1	DF091884	NW_004581659	DF091884	GPS_001612551
ASM15162v1	DF091885	NW_004581660	DF091885	GPS_001612552
ASM15162v1	DF091886	NW_004581661	DF091886	GPS_001612553
ASM15162v1	DF091887	NW_004581662	DF091887	GPS_001612554
ASM15162v1	DF091888	NW_004581663	DF091888	GPS_001612555
ASM15162v1	DF091889	NW_004581664	DF091889	GPS_001612556
ASM15162v1	DF091890	NW_004581665	DF091890	GPS_001612557
ASM15162v1	DF091891	NW_004581666	DF091891	GPS_001612558
ASM15162v1	DF091892	NW_004581667	DF091892	GPS_001612559
ASM15162v1	DF091893	NW_004581668	DF091893	GPS_001612560
ASM15162v1	DF091894	NW_004581669	DF091894	GPS_001612561
ASM15162v1	DF091895	NW_004581670	DF091895	GPS_001612562
ASM15162v1	DF091896	NW_004581671	DF091896	GPS_001612563
ASM15162v1	DF091897	NW_004581672	DF091897	GPS_001612564
ASM15162v1	DF091898	NW_004581673	DF091898	GPS_001612565
ASM15162v1	DF091899	NW_004581674	DF091899	GPS_001612566
ASM15162v1	DF091900	NW_004581675	DF091900	GPS_001612567
ASM15162v1	DF091901	NW_004581676	DF091901	GPS_001612568
ASM15162v1	DF091902	NW_004581677	DF091902	GPS_001612569
ASM15162v1	DF091903	NW_004581678	DF091903	GPS_001612570
ASM15162v1	DF090345	NW_004581679	DF090345	GPS_001612571
ASM15162v1	DF090346	NW_004581680	DF090346	GPS_001612572
